item_fat_content,item_identifier,item_type,outlet_establishment_year,outlet_identifier,outlet_location_type,outlet_size,outlet_type,item_visibility,item_weight,sales,rating
Regular,FDX32,Fruits and Vegetables,2012.0,OUT049,Tier 1,Medium,Supermarket Type1,0.100014,15.1,145.4786,5.0
Low Fat,NCB42,Health and Hygiene,2022.0,OUT018,Tier 3,Medium,Supermarket Type2,0.008596,11.8,115.3492,5.0
Regular,FDR28,Frozen Foods,2016.0,OUT046,Tier 1,Small,Supermarket Type1,0.025896,13.85,165.021,5.0
Regular,FDL50,Canned,2014.0,OUT013,Tier 3,High,Supermarket Type1,0.042278,12.15,126.5046,5.0
Low Fat,DRI25,Soft Drinks,2015.0,OUT045,Tier 2,Small,Supermarket Type1,0.03397,19.6,55.1614,5.0
Low Fat,FDS52,Frozen Foods,2020.0,OUT017,Tier 2,Small,Supermarket Type1,0.005505,8.89,102.4016,5.0
Low Fat,NCU05,Health and Hygiene,2011.0,OUT010,Tier 3,Small,Grocery Store,0.098312,11.8,81.4618,5.0
Low Fat,NCD30,Household,2015.0,OUT045,Tier 2,Small,Supermarket Type1,0.026904,19.7,96.0726,5.0
Low Fat,FDW20,Fruits and Vegetables,2014.0,OUT013,Tier 3,High,Supermarket Type1,0.024129,20.75,124.173,5.0
Low Fat,FDX25,Canned,2018.0,OUT027,Tier 3,Medium,Supermarket Type3,0.101562,12.6,181.9292,5.0
Low Fat,FDX21,Snack Foods,2018.0,OUT027,Tier 3,Medium,Supermarket Type3,0.084555,12.6,109.8912,5.0
Low Fat,NCU41,Health and Hygiene,2017.0,OUT035,Tier 2,Small,Supermarket Type1,0.052045,18.85,192.1846,5.0
Low Fat,FDL20,Fruits and Vegetables,2022.0,OUT018,Tier 3,Medium,Supermarket Type2,0.128938,17.1,112.3886,5.0
Low Fat,NCR54,Household,2014.0,OUT013,Tier 3,High,Supermarket Type1,0.090487,16.35,195.211,5.0
Low Fat,FDH19,Meat,2018.0,OUT027,Tier 3,Medium,Supermarket Type3,0.032928,12.6,173.1738,5.0
Regular,FDB57,Fruits and Vegetables,2017.0,OUT035,Tier 2,Small,Supermarket Type1,0.018802,20.25,222.1772,5.0
Low Fat,FDO23,Breads,2022.0,OUT018,Tier 3,Medium,Supermarket Type2,0.147024,17.85,93.7436,5.0
Low Fat,NCB07,Household,2012.0,OUT049,Tier 1,Medium,Supermarket Type1,0.077628,19.2,197.611,5.0
Low Fat,FDJ56,Fruits and Vegetables,2018.0,OUT027,Tier 3,Medium,Supermarket Type3,0.182515,12.6,98.77,5.0
Low Fat,DRN47,Hard Drinks,2022.0,OUT018,Tier 3,Medium,Supermarket Type2,0.016895,12.1,178.566,5.0
Regular,FDZ07,Fruits and Vegetables,2018.0,OUT027,Tier 3,Medium,Supermarket Type3,0.0,12.6,60.2194,5.0
Low Fat,NCK31,Others,2018.0,OUT027,Tier 3,Medium,Supermarket Type3,0.026917,12.6,50.9666,5.0
Low Fat,FDJ41,Frozen Foods,2022.0,OUT018,Tier 3,Medium,Supermarket Type2,0.022976,6.85,261.6594,5.0
Low Fat,DRI51,Dairy,2022.0,OUT018,Tier 3,Medium,Supermarket Type2,0.042414,17.25,173.1764,5.0
Regular,FDC40,Dairy,2020.0,OUT017,Tier 2,Medium,Supermarket Type1,0.065432,16.0,76.1986,5.0
Low Fat,FDB53,Frozen Foods,2020.0,OUT017,Tier 2,Medium,Supermarket Type1,0.140241,13.35,150.2392,5.0
Low Fat,FDA16,Frozen Foods,2017.0,OUT035,Tier 2,Small,Supermarket Type1,0.033936,6.695,221.9456,5.0
Regular,FDO19,Fruits and Vegetables,2018.0,OUT027,Tier 3,Medium,Supermarket Type3,0.016516,12.6,47.4034,5.0
Low Fat,FDO04,Frozen Foods,2016.0,OUT046,Tier 1,Small,Supermarket Type1,0.026537,16.6,57.2614,5.0
Regular,FDL25,Breakfast,2012.0,OUT049,Tier 1,Medium,Supermarket Type1,0.131128,6.92,93.1804,5.0
Low Fat,NCJ30,Household,2016.0,OUT046,Tier 1,Small,Supermarket Type1,0.08064,5.82,167.779,5.0
Low Fat,NCQ41,Health and Hygiene,2014.0,OUT013,Tier 3,High,Supermarket Type1,0.019464,14.8,196.3794,5.0
Low Fat,DRJ35,Hard Drinks,2014.0,OUT013,Tier 3,High,Supermarket Type1,0.046546,10.1,59.9878,5.0
Low Fat,NCE31,Household,2014.0,OUT013,Tier 3,High,Supermarket Type1,0.18469,7.67,35.4216,5.0
Low Fat,FDY09,Snack Foods,2020.0,OUT017,Tier 2,Medium,Supermarket Type1,0.025343,15.6,174.3054,5.0
Low Fat,FDZ04,Frozen Foods,2014.0,OUT013,Tier 3,High,Supermarket Type1,0.037924,9.31,61.651,5.0
Low Fat,FDY07,Fruits and Vegetables,2015.0,OUT045,Tier 2,Medium,Supermarket Type1,0.121848,11.8,46.8402,5.0
Regular,FDO45,Snack Foods,2015.0,OUT045,Tier 2,Medium,Supermarket Type1,0.03803,13.15,88.6856,5.0
Low Fat,FDB09,Fruits and Vegetables,2012.0,OUT049,Tier 1,Medium,Supermarket Type1,0.057485,16.25,126.2046,5.0
Regular,FDP51,Meat,2016.0,OUT046,Tier 1,Small,Supermarket Type1,0.085275,13.85,119.6124,5.0
Regular,FDT50,Dairy,2014.0,OUT013,Tier 3,High,Supermarket Type1,0.108149,6.75,95.6752,5.0
Regular,FDQ08,Fruits and Vegetables,2018.0,OUT027,Tier 3,Medium,Supermarket Type3,0.018839,12.6,62.9536,5.0
Low Fat,DRL11,Hard Drinks,2015.0,OUT045,Tier 2,Medium,Supermarket Type1,0.048116,10.5,159.0946,5.0
Low Fat,FDT34,Snack Foods,2012.0,OUT049,Tier 1,Medium,Supermarket Type1,0.174621,9.3,104.2964,5.0
Regular,FDP01,Breakfast,2011.0,OUT010,Tier 3,Medium,Grocery Store,0.105995,20.75,150.5682,5.0
Low Fat,NCJ31,Others,2014.0,OUT013,Tier 3,High,Supermarket Type1,0.182502,19.2,239.2196,5.0
Low Fat,NCL30,Household,2017.0,OUT035,Tier 2,Small,Supermarket Type1,0.048931,18.1,127.3336,5.0
Low Fat,FDF04,Frozen Foods,2012.0,OUT049,Tier 1,Medium,Supermarket Type1,0.013658,17.5,256.3304,5.0
Low Fat,NCZ42,Household,2012.0,OUT049,Tier 1,Medium,Supermarket Type1,0.011305,10.5,235.5248,5.0
Low Fat,FDG24,Baking Goods,2012.0,OUT049,Tier 1,Medium,Supermarket Type1,0.014654,7.975,82.425,5.0
Low Fat,FDV49,Canned,2012.0,OUT049,Tier 1,Medium,Supermarket Type1,0.025867,10.0,264.6226,5.0
Low Fat,FDX01,Canned,2012.0,OUT049,Tier 1,Medium,Supermarket Type1,0.024202,10.1,114.915,5.0
Low Fat,DRF27,Dairy,2012.0,OUT049,Tier 1,Medium,Supermarket Type1,0.028461,8.93,152.234,5.0
Low Fat,FDF16,Frozen Foods,2012.0,OUT049,Tier 1,Medium,Supermarket Type1,0.086266,7.3,147.2076,5.0
Low Fat,FDU04,Frozen Foods,2012.0,OUT049,Tier 1,Medium,Supermarket Type1,0.005557,7.93,122.1414,5.0
Low Fat,FDP04,Frozen Foods,2012.0,OUT049,Tier 1,Medium,Supermarket Type1,0.013834,15.35,62.7168,5.0
Low Fat,FDD05,Frozen Foods,2012.0,OUT049,Tier 1,Medium,Supermarket Type1,0.016637,19.35,120.9098,5.0
Low Fat,FDV07,Fruits and Vegetables,2012.0,OUT049,Tier 1,Medium,Supermarket Type1,0.031332,9.5,111.1228,5.0
Low Fat,FDT20,Fruits and Vegetables,2012.0,OUT049,Tier 1,Medium,Supermarket Type1,0.04146,10.5,39.2164,5.0
Low Fat,FDC44,Fruits and Vegetables,2012.0,OUT049,Tier 1,Medium,Supermarket Type1,0.0,15.6,111.9518,5.0
Low Fat,DRM59,Hard Drinks,2012.0,OUT049,Tier 1,Medium,Supermarket Type1,0.003598,5.88,153.8998,5.0
Low Fat,DRG23,Hard Drinks,2012.0,OUT049,Tier 1,Medium,Supermarket Type1,0.086916,8.88,153.3682,5.0
Low Fat,NCJ29,Health and Hygiene,2012.0,OUT049,Tier 1,Medium,Supermarket Type1,0.035248,10.6,84.7224,5.0
Low Fat,NCM42,Household,2012.0,OUT049,Tier 1,Medium,Supermarket Type1,0.028366,6.13,110.0912,5.0
Low Fat,NCY42,Household,2012.0,OUT049,Tier 1,Medium,Supermarket Type1,0.015186,6.38,144.947,5.0
Low Fat,NCX54,Household,2012.0,OUT049,Tier 1,Medium,Supermarket Type1,0.048135,9.195,107.7622,5.0
Low Fat,NCI06,Household,2012.0,OUT049,Tier 1,Medium,Supermarket Type1,0.047792,11.3,180.766,5.0
Low Fat,NCQ02,Household,2012.0,OUT049,Tier 1,Medium,Supermarket Type1,0.007468,12.6,186.9556,5.0
Low Fat,NCR38,Household,2012.0,OUT049,Tier 1,Medium,Supermarket Type1,0.113695,17.25,253.4724,5.0
Low Fat,NCM30,Household,2012.0,OUT049,Tier 1,Medium,Supermarket Type1,0.0674,19.1,41.9796,5.0
Low Fat,FDK43,Meat,2012.0,OUT049,Tier 1,Medium,Supermarket Type1,0.026882,9.8,126.302,5.0
Low Fat,FDK21,Snack Foods,2012.0,OUT049,Tier 1,Medium,Supermarket Type1,0.010028,7.905,249.6408,5.0
Low Fat,FDR45,Snack Foods,2012.0,OUT049,Tier 1,Medium,Supermarket Type1,0.028988,10.8,239.2222,5.0
Low Fat,FDV09,Snack Foods,2012.0,OUT049,Tier 1,Medium,Supermarket Type1,0.020601,12.1,147.5734,5.0
Regular,FDU12,Baking Goods,2012.0,OUT049,Tier 1,Medium,Supermarket Type1,0.075869,15.5,261.7568,5.0
Regular,FDZ47,Baking Goods,2012.0,OUT049,Tier 1,Medium,Supermarket Type1,0.07942,20.7,99.8042,5.0
Regular,FDO11,Breads,2012.0,OUT049,Tier 1,Medium,Supermarket Type1,0.030312,8.0,247.4092,5.0
Regular,FDU49,Canned,2012.0,OUT049,Tier 1,Medium,Supermarket Type1,0.030742,19.5,85.554,5.0
Regular,FDA02,Dairy,2012.0,OUT049,Tier 1,Medium,Supermarket Type1,0.029769,14.0,145.4786,5.0
Regular,FDV26,Dairy,2012.0,OUT049,Tier 1,Medium,Supermarket Type1,0.0,20.25,194.2794,5.0
Regular,FDA04,Frozen Foods,2012.0,OUT049,Tier 1,Medium,Supermarket Type1,0.066834,11.3,257.2962,5.0
Regular,FDO52,Frozen Foods,2012.0,OUT049,Tier 1,Medium,Supermarket Type1,0.077285,11.6,172.4106,5.0
Regular,FDA40,Frozen Foods,2012.0,OUT049,Tier 1,Medium,Supermarket Type1,0.099426,16.0,87.0856,5.0
Regular,FDS27,Meat,2012.0,OUT049,Tier 1,Medium,Supermarket Type1,0.012478,10.195,197.111,5.0
Regular,FDU15,Meat,2012.0,OUT049,Tier 1,Medium,Supermarket Type1,0.026643,13.65,37.9532,5.0
Regular,FDV33,Snack Foods,2012.0,OUT049,Tier 1,Medium,Supermarket Type1,0.027386,9.6,259.2304,5.0
Regular,FDV34,Snack Foods,2012.0,OUT049,Tier 1,Medium,Supermarket Type1,0.011443,10.695,73.5038,5.0
Regular,FDX46,Snack Foods,2012.0,OUT049,Tier 1,Medium,Supermarket Type1,0.058207,12.3,59.1562,5.0
Low Fat,NCA53,Health and Hygiene,2012.0,OUT049,Tier 1,Medium,Supermarket Type1,0.009894,11.395,50.3034,5.0
Regular,FDT24,Baking Goods,2012.0,OUT049,Tier 1,Medium,Supermarket Type1,0.186148,12.35,78.2328,5.0
Regular,FDX27,Dairy,2012.0,OUT049,Tier 1,Medium,Supermarket Type1,0.114295,20.7,94.9436,5.0
Low Fat,NCQ38,Others,2018.0,OUT019,Tier 1,Small,Grocery Store,0.023403,12.6,108.228,5.0
Low Fat,FDK02,Canned,2018.0,OUT019,Tier 1,Small,Grocery Store,0.196491,12.6,120.544,5.0
Low Fat,FDI15,Dairy,2018.0,OUT019,Tier 1,Small,Grocery Store,0.24749,12.6,263.1884,5.0
Low Fat,FDE09,Fruits and Vegetables,2018.0,OUT019,Tier 1,Small,Grocery Store,0.037825,12.6,109.7228,5.0
Low Fat,FDS55,Fruits and Vegetables,2018.0,OUT019,Tier 1,Small,Grocery Store,0.142108,12.6,150.3734,5.0
Low Fat,FDZ56,Fruits and Vegetables,2018.0,OUT019,Tier 1,Small,Grocery Store,0.045062,12.6,167.5474,5.0
Low Fat,NCA05,Health and Hygiene,2018.0,OUT019,Tier 1,Small,Grocery Store,0.044,12.6,148.2734,5.0
Low Fat,NCK29,Health and Hygiene,2018.0,OUT019,Tier 1,Small,Grocery Store,0.0,12.6,123.473,5.0
Low Fat,NCU29,Health and Hygiene,2018.0,OUT019,Tier 1,Small,Grocery Store,0.044608,12.6,145.976,5.0
Low Fat,NCX41,Health and Hygiene,2018.0,OUT019,Tier 1,Small,Grocery Store,0.031024,12.6,210.5244,5.0
Low Fat,NCG07,Household,2018.0,OUT019,Tier 1,Small,Grocery Store,0.091924,12.6,189.753,5.0
Low Fat,NCI30,Household,2018.0,OUT019,Tier 1,Small,Grocery Store,0.103188,12.6,244.346,5.0
Low Fat,NCR54,Household,2018.0,OUT019,Tier 1,Small,Grocery Store,0.158563,12.6,194.711,5.0
Low Fat,NCT06,Household,2018.0,OUT019,Tier 1,Small,Grocery Store,0.067824,12.6,167.7842,5.0
Low Fat,FDN15,Meat,2018.0,OUT019,Tier 1,Small,Grocery Store,0.029299,12.6,140.318,5.0
Low Fat,FDJ45,Seafood,2018.0,OUT019,Tier 1,Small,Grocery Store,0.128533,12.6,34.2216,5.0
Regular,FDL13,Breakfast,2018.0,OUT019,Tier 1,Small,Grocery Store,0.098607,12.6,232.73,5.0
Regular,FDL02,Canned,2018.0,OUT019,Tier 1,Small,Grocery Store,0.182237,12.6,107.1622,5.0
Regular,FDF56,Fruits and Vegetables,2018.0,OUT019,Tier 1,Small,Grocery Store,0.209163,12.6,179.1976,5.0
Regular,FDQ27,Meat,2018.0,OUT019,Tier 1,Small,Grocery Store,0.077481,12.6,101.399,5.0
Regular,FDG35,Starchy Foods,2018.0,OUT019,Tier 1,Small,Grocery Store,0.012328,12.6,173.8738,5.0
